StoreNumber,Store,Street,City,State,Zip,Latitude,Longitude
4167874,Dominos,5830 9th Ave N,St. Petersburg,FL,33707,27.7537296,-82.7120777
4168003,Dominos,3551 HWY 411 n,Chatsworth,GA,30705,34.7659145,-84.7699385
4167965,Dominos,8496 Tara Blvd,Jonesboro,GA,30236,33.5324319,-84.3663043
4168246,Dominos,2231 N Lincoln,Chicago,IL,60614,41.92282,-87.644601
4168238,Dominos,24 S. Prospect,Clarendon Hills,IL,60514,41.796058,-87.9548047
4168234,Dominos,1135 W Wood St,Decatur,IL,62522,39.8231401,-89.0466016
4168223,Dominos,223 Dundee Ave,Elgin,IL,60120,42.0352856,-88.2558525
4168222,Dominos,1036 S York Rd,Elmhurst,IL,60126,41.8680316,-87.9347172
4168192,Dominos,2801 Ogden Ave,Lisle,IL,60532,41.801141,-88.0747875
4168189,Dominos,1935 Harlem Rd,Loves Park,IL,61111,42.3200189,-89.0581621
4168188,Dominos,8538 OGDEN AVE,Lyons,IL,60534,41.8164482,-87.8350437
4168187,Dominos,8538 OGDEN AVE,Lyons,IL,60534,41.8144472,-87.8107561
4168160,Dominos,3708 14th Ave.,Rock Island,IL,61201,41.4898568,-90.5730713
4168138,Dominos,350 Ridge Road,Wilmette,IL,60091,42.0719949,-87.7333875
4168363,Dominos,1033 Market St,Charlestown,IN,47111,38.438366,-85.699482
4168356,Dominos,5714 N 1st Ave,Evansville,IN,47708,37.9715592,-87.5710898
4168082,Dominos,125 S Delaware,Mason City,IA,50401,43.1535728,-93.2010367
4168072,Dominos,501 Bremer Ave,Waverly,IA,50677,42.7272032,-92.4668511
4168456,Dominos,603 N Miles St,Elizabethtown,KY,42701,37.7030646,-85.8649408
4168410,Dominos,9551 US Hwy 42,Prospect,KY,40059,38.345068,-85.615517
4168689,Dominos,9546 Crain Hwy,Upper Marlboro,MD,20772,38.8159473,-76.7496909
4168656,Dominos,225 Bedford St,East Bridgewater,MA,2333,42.0334341,-70.9592096
4168647,Dominos,459 Russell St,Hadley,MA,1035,42.3417565,-72.5884222
4168619,Dominos,972 Kempton St,New Bedford,MA,2740,41.6355236,-70.9515833
4168610,Dominos,321 Elm Street,Pittsfield,MA,1201,42.4500845,-73.2453824
4168607,Dominos,225 Quincy Ave,Quincy,MA,2169,42.2513682,-70.9962875
4168881,Dominos,33692 Woodward,Birmingham,MI,48009,42.5476303,-83.216311
4168838,Dominos,1332 Apple Ave,Muskegon,MI,49442,43.24433,-86.1141045
4168837,Dominos,1697 W Sherman,Muskegon,MI,49441,43.2123878,-86.317392
4168824,Dominos,3764 Dixie Hwy,Saginaw,MI,48601,43.4157871,-83.8685072
4168948,Dominos,5551 W Lake St,Minneapolis,MN,55416,44.9484769,-93.3456118
4168921,Dominos,440 3rd Ave Se,Rochester,MN,55904,43.9562492,-92.4208713
4168912,Dominos,1110 Grand Ave,Saint Paul,MN,55105,44.9330076,-93.1629063
4169135,Dominos,1221 S Gloster,Tupelo,MS,38801,42.3388111,-71.0765188
4169093,Dominos,3709 Noland Rd,Independence,MO,64055,39.0608919,-94.4079213
4169035,Dominos,8346 Watson Rd,St. Louis,MO,63119,38.5842641,-90.3513021
4169609,Dominos,21 S. Main St.,Barnegat,NJ,8005,39.7376841,-74.2447416
4169581,Dominos,6814 Tilton Rd,Egg Harbor,NJ,8234,39.3480422,-74.663464
4169577,Dominos,26-15 Broadway,Fairlawn,NJ,7410,40.9370006,-74.1181234
4169617,Dominos,245 Rt. 31-202,Flemington,NJ,8822,40.5123258,-74.8593318
4169574,Dominos,401 Harmony Rd,Gibbstown,NJ,8027,39.8251131,-75.2835191
4169566,Dominos,4318 Highway 9,Howell,NJ,7731,40.1452337,-74.2300821
4169851,Dominos,1479 Fulton St,Brooklyn,NY,11216,40.6781784,-73.9441579
4169791,Dominos,7787 Oswego Rd,Liverpool,NY,13090,43.1462926,-76.2226032
4169786,Dominos,371 S.Main St.,Massena,NY,13662,44.9281049,-74.891865
4169762,Dominos,464 3rd Avenue,New York,NY,10016,40.744328,-73.9791458
4169744,Dominos,10 Taft Avenue,Poughkeepsie,NY,12603,41.7003713,-73.9209701
4169718,Dominos,2022 Teall Ave,Syracuse,NY,13206,43.0819995,-76.1211558
4169401,Dominos,1187 W Chatham,Cary,NC,27513,35.8129046,-78.7816219
4169385,Dominos,3223 The Plaza,Charlotte,NC,28205,35.244202,-80.794779
4169383,Dominos,343 S Kings Dr,Charlotte,NC,28204,35.2119554,-80.8338603
4169243,Dominos,1885 US-15 501,Southern Pines,NC,28387,35.1803763,-79.4310822
4170073,Dominos,527 5th Street,Beverly,OH,45715,39.5478509,-81.6395732
4170036,Dominos,2183 N High St,Columbus,OH,43201,40.005789,-83.002872
4170003,Dominos,176 N Broadway,Geneva,OH,44041,41.8316724,-80.9485476
4169991,Dominos,16 E Jefferson,Jefferson,OH,44047,41.7386662,-80.7698066
4169990,Dominos,98 E Coshocton,Johnstown,OH,43031,40.1536742,-82.6851699
4169982,Dominos,1450 N Cole St,Lima,OH,45801,40.742551,-84.1052256
4169942,Dominos,1035 Hill Rd N,Pickerington,OH,43147,39.8842304,-82.7535049
4170092,Dominos,7208 Market St,Wilmington,OH,45177,39.4453393,-83.8285375
4170116,Dominos,1 N Mission St,Sapulpa,OK,74066,35.9987007,-96.1141664
4170110,Dominos,3151 S Garnett,Tulsa,OK,74129,36.1258713,-95.85121
4170308,Dominos,1200 Market St,Lemoyne,PA,17043,40.2412008,-76.8941403
4170303,Dominos,203 Jay Street,Lock Haven,PA,17745,41.1429201,-77.4215803
4170259,Dominos,2 ANTHRA PLAZA,RANSHAW,PA,17866,40.7859192,-76.5180124
4170491,Dominos,1124 Devine St,Columbia,SC,29201,33.9939402,-81.0311435
4170493,Dominos,5424 Forest Dr,Columbia,SC,29206,34.0258687,-80.9594751
4170427,Dominos,113 N Earle St,Walhalla,SC,29691,34.7648176,-83.0640417
4170624,Dominos,409 S Main Ave,Fayetteville,TN,37334,35.1520266,-86.5705508
4171024,Dominos,15201 Mason Rd,Cypress,TX,77433,29.9950237,-95.738861
4170998,Dominos,11660 Montwood,El Paso,TX,79936,31.7599791,-106.287521
4170999,Dominos,12420 Edgemere,El Paso,TX,79938,31.8403844,-105.92299
4170995,Dominos,2128 Wedgewood,El Paso,TX,79925,31.7691793,-106.1800418
4170938,Dominos,2927 Bingle Rd,Houston,TX,77002,29.7604267,-95.3698028
4170903,Dominos,4226 Ella Blvd,Houston,TX,77018,29.8272216,-95.4295267
4170855,Dominos,1101 W Main St,League City,TX,77573,29.4779928,-95.105214
4170853,Dominos,409 E. Hwy 114,Levelland,TX,79336,33.5873164,-102.37796
4170829,Dominos,2016 Nolana St,Mcallen,TX,78504,26.286431,-98.2316326
4170827,Dominos,515 N Galloway,Mesquite,TX,75149,32.7667955,-96.5991593
4170818,Dominos,6309 Highway 6,Missouri City,TX,77459,29.4773092,-95.5302337
4170814,Dominos,2403 North St.,Nacogdoches,TX,75961,31.5941955,-94.5211935
4170809,Dominos,1106 E 42nd St,Odessa,TX,79762,31.9626279,-102.3807553
4170721,Dominos,134 Pine Plaza,Silsbee,TX,77656,30.3490976,-94.1779624
4170697,Dominos,5111 Troup Hwy,Tyler,TX,75702,32.3512601,-95.3010624
4171177,Dominos,5349 W 11000 N,Highland,UT,84003,40.4248665,-111.7979285
4171324,Dominos,105 Timber Way,Broadway,VA,22815,38.613175,-78.798912
4171321,Dominos,14120a Lee Hwy,Centreville,VA,20120,38.8403909,-77.4288769
4171309,Dominos,2227 Boulevard,Colonial Heights,VA,23834,37.244039,-77.4102607
4171367,Dominos,7959 Kings Hwy,King George,VA,22485,38.2664512,-77.1807842
4171209,Dominos,368 Newtown Rd,Virginia Beach,VA,23462,36.8400852,-76.1493891
4171350,Dominos,2886 Dale Blvd,Woodbridge,VA,22191,38.6581722,-77.2497049
4171454,Dominos,9815 State Ave,Marysville,WA,98270,48.0563616,-122.1492224
4171403,Dominos,515 Custer Way,Tumwater,WA,98501,47.0073187,-122.9093063
4171586,Dominos,1100 Armory Dr,Franklin,WI,53132,42.888627,-88.0384195
4171539,Dominos,7171 N 76Th St,Milwaukee,WI,53223,43.1666739,-87.9824758
4171583,Dominos,1112 E Main St,Pulaski,WI,54162,44.6735224,-88.2448169
4171513,Dominos,3033 Church St,Stevens Point,WI,54481,44.5235792,-89.574563
